vaccinationCenterName,location,vaccineName,vaccinationDate,totalRegistrations,totalBoys,totalGirls
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Sinopharm,2021-04-22,416,284,60
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Sinopharm,2022-05-15,436,166,196
Uhc 16 Kathmandu Metropolitan City,Balaju,Sinopharm,2023-05-15,217,123,23
Uhc 32 Kathmandu Metropolitan City,Koteshwor,Pfizer-BioNTech,2024-02-15,444,30,177
Uhc 6 Kathmandu Metropolitan City,Baudhha,Sinopharm,2022-05-13,480,216,3
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Sinopharm,2021-02-21,364,4,159
Uhc 19 Kathmandu Metropolitan City,Damai Tol,AstraZeneca,2023-08-18,128,44,28
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Pfizer-BioNTech,2023-11-09,382,73,157
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Sinopharm,2021-11-23,365,343,14
Uhc 1 Kathmandu Metropolitan City,Naxal,Pfizer-BioNTech,2023-02-03,479,100,234
Uhc 9 Kathmandu Metropolitan City,Gaushala,Moderna,2021-10-05,205,56,117
Uhc 31 Kathmandu Metropolitan City,Shantinagar,Pfizer-BioNTech,2020-12-14,455,392,37
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Pfizer-BioNTech,2021-04-01,339,49,180
Uhc 7 Kathmandu Metropolitan City,Mitrapark,Sinopharm,2023-06-08,228,116,89
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Sinopharm,2023-09-26,463,77,120
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Pfizer-BioNTech,2021-05-24,380,226,134
Uhc 25 Kathmandu Metropolitan City,Masan Galli,Sinopharm,2021-06-11,212,114,75
Uhc 23 Kathmandu Metropolitan City,Om Bahal,AstraZeneca,2021-04-12,105,90,7
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Sinopharm,2023-08-20,95,85,2
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Sinopharm,2021-02-05,319,68,215
Uhc 32 Kathmandu Metropolitan City,Koteshwor,Pfizer-BioNTech,2024-02-21,126,75,21
Uhc 12 Kathmandu Metropolitan City,Teku,AstraZeneca,2022-07-26,441,337,90
Uhc 15 Kathmandu Metropolitan City,Dallu,Moderna,2020-11-12,292,74,99
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Pfizer-BioNTech,2021-06-19,459,354,86
Uhc 15 Kathmandu Metropolitan City,Dallu,Pfizer-BioNTech,2023-05-24,110,31,20
Uhc 4 Kathmandu Metropolitan City,Balwatar,Sinopharm,2024-01-21,145,63,47
Uhc 12 Kathmandu Metropolitan City,Teku,Pfizer-BioNTech,2023-07-04,157,128,3
Uhc 18 Kathmandu Metropolitan City,Nardevi,AstraZeneca,2021-09-03,136,61,32
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Sinopharm,2022-08-19,77,62,9
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Pfizer-BioNTech,2022-03-09,79,55,13
Uhc 32 Kathmandu Metropolitan City,Koteshwor,Sinopharm,2021-06-29,367,263,42
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,Sinopharm,2022-01-16,192,0,112
Uhc 6 Kathmandu Metropolitan City,Baudhha,Pfizer-BioNTech,2022-05-23,204,20,11
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Pfizer-BioNTech,2022-10-30,212,151,13
Uhc 4 Kathmandu Metropolitan City,Balwatar,AstraZeneca,2021-06-23,87,77,4
Uhc 6 Kathmandu Metropolitan City,Baudhha,Sinopharm,2020-10-20,394,219,159
Uhc 18 Kathmandu Metropolitan City,Nardevi,AstraZeneca,2022-01-17,396,261,22
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Moderna,2021-09-10,78,55,0
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,AstraZeneca,2022-03-03,91,29,20
Uhc 14 Kathmandu Metropolitan City,Kalanki,AstraZeneca,2020-10-10,321,93,190
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Sinopharm,2021-06-12,346,28,224
Uhc 23 Kathmandu Metropolitan City,Om Bahal,Sinopharm,2022-08-30,238,66,107
Uhc 32 Kathmandu Metropolitan City,Koteshwor,Pfizer-BioNTech,2022-02-17,51,19,10
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,Pfizer-BioNTech,2022-10-21,37,26,2
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Johnson & Johnson,2022-09-21,362,55,51
Uhc 15 Kathmandu Metropolitan City,Dallu,Sinopharm,2021-07-20,222,181,23
Uhc 12 Kathmandu Metropolitan City,Teku,AstraZeneca,2022-10-19,453,218,219
Uhc 12 Kathmandu Metropolitan City,Teku,Pfizer-BioNTech,2023-07-30,80,5,51
Uhc 22 Kathmandu Metropolitan City,Te Bahal,AstraZeneca,2021-11-27,361,218,89
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,AstraZeneca,2022-04-12,111,102,5
Uhc 14 Kathmandu Metropolitan City,Kalanki,AstraZeneca,2021-09-15,340,311,12
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Pfizer-BioNTech,2022-09-12,173,75,72
Uhc 22 Kathmandu Metropolitan City,Te Bahal,AstraZeneca,2021-12-08,143,7,129
Uhc 16 Kathmandu Metropolitan City,Balaju,AstraZeneca,2021-07-31,236,109,120
Uhc 6 Kathmandu Metropolitan City,Baudhha,AstraZeneca,2021-05-31,174,40,39
Uhc 25 Kathmandu Metropolitan City,Masan Galli,Pfizer-BioNTech,2021-11-16,429,372,7
Uhc 23 Kathmandu Metropolitan City,Om Bahal,AstraZeneca,2021-09-23,216,117,38
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Pfizer-BioNTech,2023-04-12,266,38,207
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Pfizer-BioNTech,2022-09-25,86,74,11
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Pfizer-BioNTech,2021-10-02,118,108,3
Uhc 25 Kathmandu Metropolitan City,Masan Galli,Sinopharm,2021-08-04,327,78,75
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Pfizer-BioNTech,2023-06-29,265,136,59
Uhc 16 Kathmandu Metropolitan City,Balaju,Pfizer-BioNTech,2022-07-19,55,43,6
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,Sinopharm,2022-03-06,367,294,43
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,AstraZeneca,2021-10-23,171,171,0
Uhc 4 Kathmandu Metropolitan City,Balwatar,Pfizer-BioNTech,2022-06-06,173,15,62
Uhc 9 Kathmandu Metropolitan City,Gaushala,Pfizer-BioNTech,2021-11-10,336,48,55
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Sinopharm,2022-09-24,405,263,38
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,AstraZeneca,2021-06-21,160,137,21
Uhc 14 Kathmandu Metropolitan City,Kalanki,Pfizer-BioNTech,2020-10-22,301,185,9
Uhc 6 Kathmandu Metropolitan City,Baudhha,Sinopharm,2023-01-22,335,47,152
Uhc 26 Kathmandu Metropolitan City,Lainchaur,Pfizer-BioNTech,2023-02-09,172,105,54
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Sinopharm,2023-12-03,278,48,18
Uhc 16 Kathmandu Metropolitan City,Balaju,Pfizer-BioNTech,2023-07-25,330,247,45
Uhc 32 Kathmandu Metropolitan City,Koteshwor,Pfizer-BioNTech,2023-12-01,405,46,325
Uhc 7 Kathmandu Metropolitan City,Mitrapark,Sinopharm,2022-06-09,209,142,34
Uhc 14 Kathmandu Metropolitan City,Kalanki,AstraZeneca,2021-02-14,428,25,30
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Sinopharm,2023-10-17,457,325,70
Uhc 22 Kathmandu Metropolitan City,Te Bahal,AstraZeneca,2022-05-16,446,206,187
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Sinopharm,2023-04-12,54,17,25
Uhc 5 Kathmandu Metropolitan City,Hadigaun,AstraZeneca,2024-02-20,43,7,30
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,Sinopharm,2023-08-05,221,118,71
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Pfizer-BioNTech,2021-10-30,391,286,40
Uhc 18 Kathmandu Metropolitan City,Nardevi,AstraZeneca,2020-12-21,235,161,51
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Sinopharm,2020-10-11,476,349,60
Uhc 10 Kathmandu Metropolitan City,Baneshwor,AstraZeneca,2023-02-09,63,8,21
Uhc 25 Kathmandu Metropolitan City,Masan Galli,Johnson & Johnson,2023-12-29,122,0,7
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Pfizer-BioNTech,2024-02-18,370,243,120
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Pfizer-BioNTech,2022-12-16,414,7,157
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Pfizer-BioNTech,2022-09-27,430,237,157
Uhc 24 Kathmandu Metropolitan City,Makhan,AstraZeneca,2022-05-18,162,154,5
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Pfizer-BioNTech,2023-05-09,289,133,149
Uhc 13 Kathmandu Metropolitan City,Kalimati,Sinopharm,2021-11-12,144,85,48
Uhc 31 Kathmandu Metropolitan City,Shantinagar,Sinopharm,2022-12-26,131,95,16
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Pfizer-BioNTech,2021-05-25,219,47,158
Uhc 16 Kathmandu Metropolitan City,Balaju,Sinopharm,2023-04-22,486,221,21
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Sinopharm,2022-01-29,153,4,78
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Sinopharm,2021-07-26,364,247,86
Uhc 4 Kathmandu Metropolitan City,Balwatar,AstraZeneca,2022-11-12,464,132,253
Uhc 14 Kathmandu Metropolitan City,Kalanki,Sinopharm,2021-02-18,41,31,7
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Johnson & Johnson,2021-06-07,470,56,90
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Sinopharm,2023-12-03,88,33,44
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Pfizer-BioNTech,2021-01-26,433,312,47
Uhc 23 Kathmandu Metropolitan City,Om Bahal,AstraZeneca,2020-10-02,90,9,32
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,AstraZeneca,2022-06-30,495,375,36
Uhc 18 Kathmandu Metropolitan City,Nardevi,Sinopharm,2023-09-13,470,137,306
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Sinopharm,2023-05-13,418,333,39
Uhc 1 Kathmandu Metropolitan City,Naxal,Pfizer-BioNTech,2023-02-21,492,205,194
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,AstraZeneca,2024-02-21,248,136,14
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Sinopharm,2021-05-01,350,272,43
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Pfizer-BioNTech,2021-03-13,62,57,5
Uhc 22 Kathmandu Metropolitan City,Te Bahal,AstraZeneca,2021-04-13,421,232,163
Uhc 5 Kathmandu Metropolitan City,Hadigaun,AstraZeneca,2021-07-07,236,12,118
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Moderna,2020-11-16,248,88,128
Uhc 13 Kathmandu Metropolitan City,Kalimati,Pfizer-BioNTech,2022-05-27,422,158,12
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Pfizer-BioNTech,2021-02-01,213,72,51
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,Sinopharm,2021-11-06,262,17,219
Uhc 26 Kathmandu Metropolitan City,Lainchaur,Sinopharm,2021-07-04,412,124,87
Uhc 5 Kathmandu Metropolitan City,Hadigaun,AstraZeneca,2021-10-01,352,145,201
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Moderna,2022-10-14,357,104,142
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Pfizer-BioNTech,2023-05-19,397,128,95
Uhc 9 Kathmandu Metropolitan City,Gaushala,AstraZeneca,2022-09-03,165,109,34
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Pfizer-BioNTech,2023-03-29,50,38,11
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Sinopharm,2021-12-11,31,5,9
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Sinopharm,2023-05-12,332,90,96
Uhc 9 Kathmandu Metropolitan City,Gaushala,Moderna,2022-08-07,385,167,54
Uhc 26 Kathmandu Metropolitan City,Lainchaur,AstraZeneca,2022-10-17,341,328,6
Uhc 23 Kathmandu Metropolitan City,Om Bahal,Moderna,2022-02-14,373,239,56
Uhc 23 Kathmandu Metropolitan City,Om Bahal,Pfizer-BioNTech,2021-03-05,450,225,182
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Pfizer-BioNTech,2022-03-09,381,352,28
Uhc 4 Kathmandu Metropolitan City,Balwatar,AstraZeneca,2022-05-24,374,301,2
Uhc 31 Kathmandu Metropolitan City,Shantinagar,AstraZeneca,2023-01-27,245,97,48
Uhc 25 Kathmandu Metropolitan City,Masan Galli,Pfizer-BioNTech,2020-11-07,194,60,112
Uhc 4 Kathmandu Metropolitan City,Balwatar,AstraZeneca,2022-02-13,132,97,5
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,AstraZeneca,2020-11-24,141,44,91
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Pfizer-BioNTech,2023-08-02,326,144,83
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Sinopharm,2023-10-26,147,17,1
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Pfizer-BioNTech,2021-03-20,193,148,33
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Pfizer-BioNTech,2023-07-23,234,28,106
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,AstraZeneca,2022-06-13,479,420,8
Uhc 13 Kathmandu Metropolitan City,Kalimati,AstraZeneca,2021-11-21,381,224,135
Uhc 14 Kathmandu Metropolitan City,Kalanki,Moderna,2023-01-19,35,24,9
Uhc 13 Kathmandu Metropolitan City,Kalimati,Pfizer-BioNTech,2021-08-08,109,14,23
Uhc 9 Kathmandu Metropolitan City,Gaushala,Pfizer-BioNTech,2023-10-20,298,208,33
Uhc 15 Kathmandu Metropolitan City,Dallu,Pfizer-BioNTech,2020-10-17,184,56,49
Uhc 4 Kathmandu Metropolitan City,Balwatar,Pfizer-BioNTech,2023-05-08,449,82,239
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,AstraZeneca,2023-12-25,284,184,29
Uhc 6 Kathmandu Metropolitan City,Baudhha,AstraZeneca,2021-08-31,201,190,2
Uhc 18 Kathmandu Metropolitan City,Nardevi,Pfizer-BioNTech,2022-01-06,343,236,15
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Pfizer-BioNTech,2022-01-13,273,221,24
Uhc 31 Kathmandu Metropolitan City,Shantinagar,Moderna,2023-10-25,131,113,2
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,AstraZeneca,2024-02-02,494,133,296
Uhc 7 Kathmandu Metropolitan City,Mitrapark,Pfizer-BioNTech,2021-10-12,260,159,61
Uhc 7 Kathmandu Metropolitan City,Mitrapark,AstraZeneca,2021-05-21,316,15,35
Uhc 14 Kathmandu Metropolitan City,Kalanki,AstraZeneca,2022-01-12,389,263,59
Uhc 13 Kathmandu Metropolitan City,Kalimati,Moderna,2022-10-12,259,225,6
Uhc 31 Kathmandu Metropolitan City,Shantinagar,Sinopharm,2022-11-30,157,149,6
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,Sinopharm,2020-11-17,306,93,0
Uhc 12 Kathmandu Metropolitan City,Teku,Pfizer-BioNTech,2021-10-11,207,19,146
Uhc 12 Kathmandu Metropolitan City,Teku,AstraZeneca,2021-02-20,497,283,31
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Sinopharm,2020-12-11,341,267,53
Uhc 9 Kathmandu Metropolitan City,Gaushala,Pfizer-BioNTech,2022-07-11,98,89,4
Uhc 9 Kathmandu Metropolitan City,Gaushala,AstraZeneca,2021-06-10,131,107,24
Uhc 12 Kathmandu Metropolitan City,Teku,Sinopharm,2023-06-21,181,131,42
Uhc 14 Kathmandu Metropolitan City,Kalanki,Pfizer-BioNTech,2020-10-15,80,6,8
Uhc 13 Kathmandu Metropolitan City,Kalimati,AstraZeneca,2022-07-17,186,6,122
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Pfizer-BioNTech,2020-10-10,301,177,34
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Pfizer-BioNTech,2023-07-12,197,73,22
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Pfizer-BioNTech,2023-04-17,268,159,11
Uhc 24 Kathmandu Metropolitan City,Makhan,AstraZeneca,2023-10-08,99,78,13
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Pfizer-BioNTech,2023-01-01,132,89,6
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Sinopharm,2021-07-21,189,77,36
Uhc 6 Kathmandu Metropolitan City,Baudhha,Pfizer-BioNTech,2024-01-15,92,84,8
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Pfizer-BioNTech,2021-10-05,30,28,1
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Moderna,2023-10-27,341,53,174
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Sinopharm,2023-08-15,321,271,31
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,AstraZeneca,2021-07-18,459,437,21
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Sinopharm,2022-04-01,407,366,17
Uhc 25 Kathmandu Metropolitan City,Masan Galli,Pfizer-BioNTech,2023-06-24,257,178,0
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,Sinopharm,2023-01-11,215,55,153
Uhc 12 Kathmandu Metropolitan City,Teku,Pfizer-BioNTech,2022-02-17,104,21,55
Uhc 25 Kathmandu Metropolitan City,Masan Galli,Sinopharm,2021-04-25,72,46,23
Uhc 24 Kathmandu Metropolitan City,Makhan,Pfizer-BioNTech,2023-01-26,184,5,20
Uhc 12 Kathmandu Metropolitan City,Teku,Sinopharm,2024-01-15,364,249,110
Uhc 25 Kathmandu Metropolitan City,Masan Galli,Sinopharm,2022-03-21,289,24,159
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,AstraZeneca,2021-08-09,422,89,23
Uhc 18 Kathmandu Metropolitan City,Nardevi,Pfizer-BioNTech,2022-01-14,98,77,17
Uhc 16 Kathmandu Metropolitan City,Balaju,Pfizer-BioNTech,2021-09-06,364,158,125
Uhc 15 Kathmandu Metropolitan City,Dallu,Sinopharm,2022-04-22,199,121,57
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Pfizer-BioNTech,2022-07-25,445,313,73
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Sinopharm,2021-05-30,451,412,0
Uhc 14 Kathmandu Metropolitan City,Kalanki,AstraZeneca,2021-03-08,304,261,9
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Pfizer-BioNTech,2023-09-25,145,55,56
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,AstraZeneca,2021-06-02,334,75,87
Uhc 24 Kathmandu Metropolitan City,Makhan,AstraZeneca,2021-05-09,485,316,169
Uhc 26 Kathmandu Metropolitan City,Lainchaur,Pfizer-BioNTech,2022-04-18,420,122,165
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,AstraZeneca,2021-07-23,334,232,12
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Moderna,2022-10-31,404,318,25
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,Pfizer-BioNTech,2022-06-05,388,14,322
Uhc 1 Kathmandu Metropolitan City,Naxal,Pfizer-BioNTech,2022-01-20,451,102,50
Uhc 1 Kathmandu Metropolitan City,Naxal,Sinopharm,2021-07-05,311,177,90
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,AstraZeneca,2023-01-21,79,37,2
Uhc 6 Kathmandu Metropolitan City,Baudhha,Sinopharm,2022-02-24,348,281,20
Uhc 15 Kathmandu Metropolitan City,Dallu,Pfizer-BioNTech,2022-09-20,384,93,157
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Sinopharm,2022-06-17,480,238,88
Uhc 18 Kathmandu Metropolitan City,Nardevi,Sinopharm,2023-06-03,452,145,109
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Pfizer-BioNTech,2023-01-12,404,130,205
Uhc 16 Kathmandu Metropolitan City,Balaju,Pfizer-BioNTech,2022-06-19,147,0,49
Uhc 7 Kathmandu Metropolitan City,Mitrapark,Sinopharm,2020-12-14,407,222,88
Uhc 16 Kathmandu Metropolitan City,Balaju,Pfizer-BioNTech,2021-06-19,109,54,40
Uhc 16 Kathmandu Metropolitan City,Balaju,Pfizer-BioNTech,2021-05-01,176,29,126
Uhc 25 Kathmandu Metropolitan City,Masan Galli,AstraZeneca,2022-05-03,199,0,170
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Sinopharm,2021-09-02,51,32,6
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Pfizer-BioNTech,2022-04-11,223,55,168
Uhc 13 Kathmandu Metropolitan City,Kalimati,Sinopharm,2021-09-20,382,281,85
Uhc 15 Kathmandu Metropolitan City,Dallu,Pfizer-BioNTech,2021-06-04,117,69,28
Uhc 31 Kathmandu Metropolitan City,Shantinagar,AstraZeneca,2022-01-16,371,60,64
Uhc 4 Kathmandu Metropolitan City,Balwatar,AstraZeneca,2021-12-04,453,124,99
Uhc 1 Kathmandu Metropolitan City,Naxal,AstraZeneca,2021-02-04,142,6,91
Uhc 19 Kathmandu Metropolitan City,Damai Tol,Sinopharm,2023-02-02,71,70,0
Uhc 12 Kathmandu Metropolitan City,Teku,Sinopharm,2023-06-26,330,1,218
Uhc 6 Kathmandu Metropolitan City,Baudhha,Sinopharm,2021-11-13,251,191,53
Uhc 12 Kathmandu Metropolitan City,Teku,AstraZeneca,2022-10-24,343,10,185
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Sinopharm,2022-08-10,67,19,2
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,AstraZeneca,2022-12-18,485,331,37
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Sinopharm,2023-07-17,471,374,7
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Pfizer-BioNTech,2021-06-12,108,71,36
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,Pfizer-BioNTech,2021-01-08,139,69,47
Uhc 21 Kathmandu Metropolitan City,Jhwaa Bahal,Johnson & Johnson,2020-10-22,357,117,191
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Pfizer-BioNTech,2023-06-27,438,328,92
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Pfizer-BioNTech,2021-03-10,101,32,44
Uhc 2 Kathmandu Metropolitan City,Lazimpat,Pfizer-BioNTech,2022-01-19,192,112,33
Uhc 24 Kathmandu Metropolitan City,Makhan,AstraZeneca,2021-10-15,342,320,19
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Johnson & Johnson,2021-08-01,450,17,101
Uhc 16 Kathmandu Metropolitan City,Balaju,Sinopharm,2020-12-23,110,38,10
Uhc 4 Kathmandu Metropolitan City,Balwatar,Sinopharm,2024-01-30,200,199,1
Uhc 18 Kathmandu Metropolitan City,Nardevi,Pfizer-BioNTech,2020-12-25,274,163,99
Uhc 11 Kathmandu Metropolitan City,Babarmahal,AstraZeneca,2022-10-21,352,270,77
Uhc 31 Kathmandu Metropolitan City,Shantinagar,AstraZeneca,2023-06-20,368,78,253
Uhc 23 Kathmandu Metropolitan City,Om Bahal,AstraZeneca,2021-12-01,342,196,84
Uhc 18 Kathmandu Metropolitan City,Nardevi,AstraZeneca,2021-07-19,70,53,6
Uhc 10 Kathmandu Metropolitan City,Baneshwor,AstraZeneca,2023-08-06,414,412,2
Uhc 8 Kathmandu Metropolitan City,Jai Bageshwori,Sinopharm,2023-10-25,267,36,202
Uhc 13 Kathmandu Metropolitan City,Kalimati,Sinopharm,2024-02-21,227,112,61
Uhc 32 Kathmandu Metropolitan City,Koteshwor,Sinopharm,2023-09-15,451,155,87
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,Sinopharm,2021-12-29,264,257,5
Uhc 19 Kathmandu Metropolitan City,Damai Tol,AstraZeneca,2022-07-27,31,6,2
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Pfizer-BioNTech,2021-03-12,486,446,28
Uhc 14 Kathmandu Metropolitan City,Kalanki,Sinopharm,2023-01-18,429,397,26
Uhc 32 Kathmandu Metropolitan City,Koteshwor,AstraZeneca,2021-10-17,253,111,6
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Johnson & Johnson,2021-05-06,388,71,116
Uhc 31 Kathmandu Metropolitan City,Shantinagar,AstraZeneca,2022-12-30,139,71,21
Uhc 17 Kathmandu Metropolitan City,Chhetrapati,AstraZeneca,2021-09-28,337,301,35
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Pfizer-BioNTech,2023-10-07,486,118,145
Uhc 13 Kathmandu Metropolitan City,Kalimati,Pfizer-BioNTech,2023-10-06,143,84,59
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Pfizer-BioNTech,2023-03-09,500,68,90
Uhc 6 Kathmandu Metropolitan City,Baudhha,Sinopharm,2022-07-05,475,293,179
Uhc 30 Kathmandu Metropolitan City,Gyaneshwor,AstraZeneca,2021-12-19,112,90,2
Uhc 5 Kathmandu Metropolitan City,Hadigaun,Sinopharm,2021-08-06,198,196,0
Uhc 28 Kathmandu Metropolitan City,Purano Buspark,Sinopharm,2020-10-08,116,90,21
Uhc 14 Kathmandu Metropolitan City,Kalanki,Sinopharm,2022-07-28,461,294,37
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,Sinopharm,2022-03-07,318,130,88
Uhc 11 Kathmandu Metropolitan City,Babarmahal,Sinopharm,2021-12-12,273,254,18
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Sinopharm,2023-06-08,210,79,76
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,AstraZeneca,2023-05-31,273,71,7
Uhc 4 Kathmandu Metropolitan City,Balwatar,Sinopharm,2023-01-23,44,24,3
Uhc 18 Kathmandu Metropolitan City,Nardevi,Sinopharm,2023-02-09,98,10,33
Uhc 3 Kathmandu Metropolitan City,Maharjgunj,Sinopharm,2023-10-17,79,20,19
Uhc 27 Kathmandu Metropolitan City,Maha Bahudha,Sinopharm,2022-01-18,368,289,47
Uhc 15 Kathmandu Metropolitan City,Dallu,Moderna,2022-05-13,40,6,2
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,AstraZeneca,2021-02-21,346,87,235
Uhc 24 Kathmandu Metropolitan City,Makhan,Johnson & Johnson,2021-01-25,309,106,169
Uhc 20 Kathmandu Metropolitan City,Bimsenthan,Pfizer-BioNTech,2021-12-06,352,158,193
Uhc 18 Kathmandu Metropolitan City,Nardevi,Johnson & Johnson,2021-02-09,278,234,2
Uhc 10 Kathmandu Metropolitan City,Baneshwor,AstraZeneca,2024-01-14,343,160,100
Uhc 29 Kathmandu Metropolitan City,Dilibazzar Pipalbot,AstraZeneca,2023-01-26,436,327,105
Uhc 10 Kathmandu Metropolitan City,Baneshwor,Pfizer-BioNTech,2021-10-04,132,87,24
Uhc 22 Kathmandu Metropolitan City,Te Bahal,Pfizer-BioNTech,2023-01-08,345,176,169
